Gene_Id,padj,logFC
209602_s_at,0.0609,3.7054358
205968_at,0.1181,1.933609
208608_s_at,0.1494,-2.1511964
202088_at,0.2452,1.7845901
213693_s_at,0.2452,3.359939
219481_at,0.2452,2.1666754
201629_s_at,0.2452,1.1436643
218712_at,0.2452,2.0722363
201596_x_at,0.2452,2.971109
205225_at,0.2452,1.195559
201242_s_at,0.2452,2.216679
208737_at,0.2452,1.7673799
204330_s_at,0.2452,1.7945659
201243_s_at,0.2452,1.5664686
201005_at,0.2452,3.7196055
222247_at,0.2452,-2.3550841
222369_at,0.2452,1.5650428
222140_s_at,0.2452,1.6220879
219568_x_at,0.2452,-2.5533098
209942_x_at,0.2452,-1.7224034
222163_s_at,0.2452,1.9466315
209603_at,0.2452,1.9652523
204419_x_at,0.2452,-2.4486283
214451_at,0.2772,2.4540162
213326_at,0.2776,1.6147994
216868_s_at,0.2776,-2.6020217
206378_at,0.2776,2.1763519
220200_s_at,0.2776,-2.1114116
202291_s_at,0.2817,2.1271778
209524_at,0.3231,1.9438998
209459_s_at,0.3231,3.3508319
203215_s_at,0.3231,1.6759587
217842_at,0.3287,3.1527077
203519_s_at,0.3287,1.8137285
207107_at,0.3287,-1.9624517
217986_s_at,0.3287,1.846623
206509_at,0.3287,2.4723438
216095_x_at,0.3287,1.5533684
201031_s_at,0.3287,1.0473917
207254_at,0.3287,-1.3854144
218313_s_at,0.3287,2.5023891
213808_at,0.3287,-1.248449
218477_at,0.3287,2.23095
201650_at,0.3287,4.2976364
204938_s_at,0.3287,-1.444234
201131_s_at,0.3287,2.6809667
214113_s_at,0.3287,1.0393794
209604_s_at,0.3287,1.8230803
213176_s_at,0.3287,-1.6366351
218237_s_at,0.3287,1.5796457
218640_s_at,0.3287,1.3225835
213653_at,0.3287,1.9358364
221949_at,0.3287,-1.4683331
206962_x_at,0.3287,1.1646362
203453_at,0.3287,1.7764746
211893_x_at,0.3287,-0.9421637
206455_s_at,0.3287,-1.2852271
220948_s_at,0.3287,1.5412094
216126_at,0.3287,-1.1937533
221183_at,0.3287,-1.2173603
214388_at,0.3287,1.0258563
201335_s_at,0.3287,1.351346
216407_at,0.3287,-1.442837
201758_at,0.3287,1.3936487
221751_at,0.3287,1.0360282
217403_s_at,0.3287,-0.960068
216653_at,0.3287,1.1731119
216573_at,0.3287,-1.6170556
206506_s_at,0.3287,-1.2107216
266_s_at,0.3287,3.8978526
222103_at,0.3287,2.9657961
207316_at,0.3287,-1.5918317
203770_s_at,0.3287,-1.1892938
215887_at,0.3368,-1.0250163
207559_s_at,0.3368,1.4581614
221497_x_at,0.3368,-1.3612525
211647_x_at,0.3368,1.7175042
203124_s_at,0.3368,2.0426124
211375_s_at,0.3395,1.6465184
217102_at,0.3395,-1.0000809
202953_at,0.3395,-1.400157
212406_s_at,0.3395,1.0229186
217046_s_at,0.3436,-1.2764097
206009_at,0.345,-1.3577794
207748_at,0.345,0.9418161
212779_at,0.345,1.339464
212502_at,0.3467,1.5486357
202911_at,0.3467,1.6178342
209796_s_at,0.3467,1.482599
201461_s_at,0.3467,-1.4415498
209209_s_at,0.3467,-1.7960618
214889_at,0.3467,-1.7835646
205292_s_at,0.3467,1.3656182
209586_s_at,0.3467,1.045768
210596_at,0.3467,1.1200258
203613_s_at,0.3467,1.320454
202814_s_at,0.3467,0.9942944
209775_x_at,0.3467,-1.8951958
202193_at,0.3467,2.3689478
212173_at,0.3467,-1.713885
212692_s_at,0.3467,2.325149
219434_at,0.3467,1.0777724
202089_s_at,0.3467,1.0741653
221505_at,0.35,1.2209258
211987_at,0.35,1.2360473
209526_s_at,0.3585,1.0776003
213354_s_at,0.3612,-0.9710019
209309_at,0.3612,2.1656955
205610_at,0.3612,-1.2107827
207481_at,0.362,1.6306518
211946_s_at,0.3673,1.63845
200854_at,0.3748,1.3392918
202931_x_at,0.3844,-1.094303
201417_at,0.3848,2.7702384
219494_at,0.386,1.2490824
205461_at,0.386,-1.0777257
211706_s_at,0.386,-1.5100014
221583_s_at,0.386,-1.7349141
220282_at,0.3886,-1.9459071
213518_at,0.3886,1.9847405
201939_at,0.3886,1.754336
214168_s_at,0.3886,0.9972626
202963_at,0.3886,1.2955933
207648_at,0.3886,-1.1668109
201711_x_at,0.3886,1.8522768
221331_x_at,0.3886,-1.0017629
210962_s_at,0.3918,1.3644586
200821_at,0.3935,2.6129051
218715_at,0.3954,1.4737402
217979_at,0.3954,0.8795256
209173_at,0.3954,3.6965598
210715_s_at,0.3954,2.0985141
200606_at,0.3954,1.2989895
203047_at,0.3962,-1.3401121
211179_at,0.3962,-1.1290076
221610_s_at,0.3962,0.9470324
208682_s_at,0.3962,2.2340387
205478_at,0.3962,-2.3318027
38037_at,0.3962,-1.0577486
