"Gene_Id","padj","logFC","status"
"220686_s_at",0.000474,-1.7795338,"Downregulated"
"235416_at",0.000474,-3.704878,"Downregulated"
"239303_at",0.000474,-1.7396368,"Downregulated"
"234367_x_at",0.000474,-3.6789345,"Downregulated"
"207601_at",0.001045,-2.7548539,"Downregulated"
"205509_at",0.001045,-3.5671766,"Downregulated"
"1554628_at",0.001045,-1.4023165,"Downregulated"
"203256_at",0.001103,3.2272292,"Upregulated"
"1570445_a_at",0.001462,-4.5205678,"Downregulated"
"210505_at",0.001462,-4.2682112,"Downregulated"
"205941_s_at",0.001621,4.4626402,"Upregulated"
"209366_x_at",0.001621,-1.3195692,"Downregulated"
"217763_s_at",0.001621,1.6610577,"Upregulated"
"228825_at",0.001621,-1.5798036,"Downregulated"
"219543_at",0.001621,-2.6611743,"Downregulated"
"227140_at",0.001621,4.5624785,"Upregulated"
"219564_at",0.001621,-6.3451455,"Downregulated"
"219313_at",0.001621,-1.168563,"Downregulated"
"217764_s_at",0.001621,1.5137357,"Upregulated"
"234095_at",0.001621,-1.1759052,"Downregulated"
"215726_s_at",0.001621,-1.356913,"Downregulated"
"225520_at",0.001621,1.8643835,"Upregulated"
"1555175_a_at",0.001693,-2.1783733,"Downregulated"
"204745_x_at",0.001693,-2.6264277,"Downregulated"
"212354_at",0.001828,3.525713,"Upregulated"
"1553797_a_at",0.001828,-3.300451,"Downregulated"
"242546_at",0.001828,2.7391107,"Upregulated"
"207843_x_at",0.001828,-1.1813114,"Downregulated"
"223862_at",0.001828,-4.6658703,"Downregulated"
"210511_s_at",0.001828,4.9973833,"Upregulated"
"1554530_at",0.001828,-3.8488261,"Downregulated"
"217762_s_at",0.001829,1.4688334,"Upregulated"
"236118_at",0.001829,-3.5163465,"Downregulated"
"206461_x_at",0.001931,-2.2223449,"Downregulated"
"209213_at",0.002089,-1.363273,"Downregulated"
"217546_at",0.002172,-4.9201424,"Downregulated"
"227566_at",0.002223,2.5567101,"Upregulated"
"230204_at",0.002223,-2.3291384,"Downregulated"
"236513_at",0.002223,-1.5852041,"Downregulated"
"237498_at",0.002223,-1.484926,"Downregulated"
"229948_at",0.002223,-1.648897,"Downregulated"
"223426_s_at",0.002223,-1.4109302,"Downregulated"
"205160_at",0.002223,-1.1262702,"Downregulated"
"1553678_a_at",0.002223,1.0840893,"Upregulated"
"212344_at",0.002223,3.6029829,"Upregulated"
"209309_at",0.002223,-2.9141497,"Downregulated"
"223611_s_at",0.002223,-1.7225589,"Downregulated"
"242775_at",0.002223,-1.328868,"Downregulated"
"228201_at",0.002223,1.0221045,"Upregulated"
"1556554_at",0.002223,-5.4444352,"Downregulated"
"201438_at",0.002223,2.0585832,"Upregulated"
"203773_x_at",0.002303,1.255682,"Upregulated"
"226228_at",0.002353,-7.8413652,"Downregulated"
"1564333_a_at",0.002353,-4.9340908,"Downregulated"
"229802_at",0.002438,2.9533462,"Upregulated"
"236360_at",0.002443,-2.9893156,"Downregulated"
"222654_at",0.002443,0.8106431,"Not_Significant"
"216336_x_at",0.002443,-2.3253429,"Downregulated"
"216661_x_at",0.002443,-2.897473,"Downregulated"
"205660_at",0.002443,-2.1176117,"Downregulated"
"212859_x_at",0.002443,-2.1938631,"Downregulated"
"56256_at",0.002443,-1.6002613,"Downregulated"
"217165_x_at",0.002546,-2.5306411,"Downregulated"
"201108_s_at",0.002546,2.0043127,"Upregulated"
"213353_at",0.002546,-1.0314463,"Downregulated"
"212460_at",0.002735,1.0749425,"Upregulated"
"213629_x_at",0.002735,-2.7253588,"Downregulated"
"208072_s_at",0.002745,-1.5597916,"Downregulated"
"225113_at",0.002745,0.8366466,"Not_Significant"
"243072_at",0.002745,-1.7361095,"Downregulated"
"209081_s_at",0.002818,1.1560895,"Upregulated"
"1554183_s_at",0.00289,-2.7826247,"Downregulated"
"1569428_at",0.003014,-2.7524049,"Downregulated"
"228805_at",0.003014,-0.8672779,"Not_Significant"
"202404_s_at",0.003018,2.5548157,"Upregulated"
"227742_at",0.003052,-4.2177371,"Downregulated"
"1554182_at",0.003109,-3.172515,"Downregulated"
"209605_at",0.003109,-1.4834335,"Downregulated"
"238783_at",0.003109,-1.3752484,"Downregulated"
"227948_at",0.003109,-1.8295716,"Downregulated"
"222548_s_at",0.003109,1.3516372,"Upregulated"
"205913_at",0.003109,-2.6158292,"Downregulated"
"241780_at",0.003109,1.5311638,"Upregulated"
"212353_at",0.003128,3.4271915,"Upregulated"
"226594_at",0.003172,-1.9655584,"Downregulated"
"237724_at",0.0032,-1.9834143,"Downregulated"
"242269_at",0.0032,-2.7400644,"Downregulated"
"212448_at",0.0032,-1.7507481,"Downregulated"
"210524_x_at",0.0032,-2.4116994,"Downregulated"
"235591_at",0.0032,-3.5878601,"Downregulated"
"229499_at",0.003225,-3.0874929,"Downregulated"
"218404_at",0.003225,1.6890116,"Upregulated"
"221730_at",0.003225,1.9868828,"Upregulated"
"228568_at",0.003271,-1.5097561,"Downregulated"
"231766_s_at",0.003271,2.8421016,"Upregulated"
"212551_at",0.003285,2.2140646,"Upregulated"
"238205_at",0.003285,-3.3291893,"Downregulated"
"238681_at",0.003285,-1.6111227,"Downregulated"
"223753_s_at",0.003285,-2.7513421,"Downregulated"
"213869_x_at",0.003285,2.0904904,"Upregulated"
"224950_at",0.003291,1.2402707,"Upregulated"
"225681_at",0.003291,2.8671448,"Upregulated"
"235521_at",0.003291,1.4799522,"Upregulated"
"207173_x_at",0.003291,1.813153,"Upregulated"
"208636_at",0.003333,1.3033908,"Upregulated"
"241436_at",0.003333,-5.306967,"Downregulated"
"204361_s_at",0.003333,1.3420065,"Upregulated"
"235821_at",0.003333,2.4203602,"Upregulated"
"214734_at",0.003333,-0.8676581,"Not_Significant"
"225354_s_at",0.003333,-1.7404764,"Downregulated"
"207139_at",0.003333,-8.0231921,"Downregulated"
"219553_at",0.003333,1.0521057,"Upregulated"
"203570_at",0.003333,1.0754167,"Upregulated"
"200793_s_at",0.003333,-1.2160107,"Downregulated"
"223326_s_at",0.003333,-1.1283031,"Downregulated"
"204073_s_at",0.003333,-2.3243567,"Downregulated"
"205290_s_at",0.003333,-1.718422,"Downregulated"
"218765_at",0.003333,-1.458821,"Downregulated"
"235202_x_at",0.003333,1.2615284,"Upregulated"
"229401_at",0.003367,-2.124203,"Downregulated"
"225664_at",0.003367,2.5616933,"Upregulated"
"242881_x_at",0.003367,2.7994804,"Upregulated"
"209966_x_at",0.003367,-4.7037854,"Downregulated"
"225295_at",0.003367,1.6076009,"Upregulated"
"229661_at",0.003394,3.4227639,"Upregulated"
"239606_at",0.003423,-1.5826461,"Downregulated"
"1553647_at",0.003485,-1.1895006,"Downregulated"
